"","INPUT","OUTPUT","COUNT"
"933","im going to","the",7
"934","im so proud","of",7
"935","im the only","one",7
"936","in a good","mood",7
"937","in an effort","to",7
"938","in love with","her",7
"939","in love with","the",7
"940","in my life","and",7
"941","in need of","a",7
"942","in the car","and",7
"943","in the center","of",7
"944","in the context","of",7
"945","in the end","i",7
"946","in the world","to",7
"947","is a bit","of",7
"948","is a waste","of",7
"949","is all about","the",7
"950","is going to","take",7
"951","is it me","or",7
"952","is it possible","that",7
"953","is so much","more",7
"954","is the fact","that",7
"955","it had to","be",7
"956","it out of","the",7
"957","it to be","a",7
"958","it took me","a",7
"959","it used to","be",7
"960","it would have","been",7
"961","just around the","corner",7
"962","just finished a","mi",7
"963","just let me","know",7
"964","know a lot","of",7
"965","know what it","is",7
"966","look forward to","seeing",7
"967","looking forward to","this",7
"968","love to see","you",7
"969","make sure to","check",7
"970","me and i","will",7
"971","me if you","want",7
"972","much as i","do",7
"973","much for the","follow",7
"974","my friends and","i",7
"975","need to go","to",7
"976","next to each","other",7
"977","not supposed to","be",7
"978","of the day","it",7
"979","of the time","i",7
"980","oh oh oh","oh",7
"981","on the part","of",7
"982","on the same","page",7
"983","on the way","home",7
"984","one of the","many",7
"985","one of the","worst",7
"986","or is it","just",7
"987","out in the","sun",7
"988","over the last","few",7
"989","remember the last","time",7
"990","rest of the","week",7
"991","rt thanks for","the",7
"992","see what i","can",7
"993","see what i","did",7
"994","seems to me","that",7
"995","should be a","good",7
"996","shout out to","my",7
"997","shout out to","the",7
"998","so happy to","see",7
"999","so i can","get",7
"1000","so i can","see",7
"1001","so much more","than",7
"1002","so that i","could",7
"1003","so what do","you",7
"1004","take care of","the",7
"1005","thank you all","for",7
"1006","thank you it","was",7
"1007","thanks for the","support",7
"1008","thanks for the","tweet",7
"1009","thanks to all","who",7
"1010","that i have","been",7
"1011","that i have","to",7
"1012","that is why","i",7
"1013","that it is","the",7
"1014","that they do","not",7
"1015","that would be","a",7
"1016","that would be","awesome",7
"1017","the beauty of","the",7
"1018","the best of","the",7
"1019","the face of","the",7
"1020","the fact that","my",7
"1021","the first time","since",7
"1022","the head of","the",7
"1023","the last day","of",7
"1024","the only one","that",7
"1025","the other way","around",7
"1026","the quality of","the",7
"1027","the rest of","your",7
"1028","the sound of","the",7
"1029","the swing of","things",7
"1030","the time i","was",7
"1031","the two of","them",7
"1032","the university of","chicago",7
"1033","the use of","the",7
"1034","the word of","god",7
"1035","there are plenty","of",7
"1036","there is no","such",7
"1037","there is no","way",7
"1038","there needs to","be",7
"1039","think i need","to",7
"1040","think it will","be",7
"1041","think it would","be",7
"1042","think of a","better",7
"1043","this is a","very",7
"1044","this is the","first",7
"1045","this is what","we",7
"1046","time to get","back",7
"1047","to all of","our",7
"1048","to be back","in",7
"1049","to be in","my",7
"1050","to be on","a",7
"1051","to check out","our",7
"1052","to check out","the",7
"1053","to do in","the",7
"1054","to do with","my",7
"1055","to get into","the",7
"1056","to get up","and",7
"1057","to go to","work",7
"1058","to head to","the",7
"1059","to hear from","you",7
"1060","to learn how","to",7
"1061","to say that","i",7
"1062","to see what","you",7
"1063","to see you","in",7
"1064","to take a","picture",7
"1065","to take advantage","of",7
"1066","to the other","side",7
"1067","to work with","you",7
"1068","trick trick trick","trick",7
"1069","up and down","the",7
"1070","up the good","work",7
"1071","want to be","a",7
"1072","want to be","able",7
"1073","want to have","a",7
"1074","wanted to be","a",7
"1075","was supposed to","be",7
"1076","we are having","a",7
"1077","we had a","blast",7
"1078","what do you","mean",7
"1079","what is going","on",7
"1080","what was going","on",7
"1081","what you want","to",7
"1082","whats going on","in",7
"1083","whats wrong with","me",7
"1084","when it came","to",7
"1085","who you are","and",7
"1086","will have to","be",7
"1087","will let you","know",7
"1088","would like to","thank",7
"1089","you all have","a",7
"1090","you are the","best",7
"1091","you are trying","to",7
"1092","you for all","the",7
"1093","you have a","chance",7
"1094","you know what","that",7
"1095","you may want","to",7
"1096","you want to","do",7
"1097","a couple of","years",6
"1098","a fan of","the",6
"1099","a glass of","wine",6
"1100","a lot more","than",6
"1101","a matter of","time",6
"1102","a sense of","humor",6
"1103","a whole bunch","of",6
"1104","about the fact","that",6
"1105","all i have","to",6
"1106","all my new","followers",6
"1107","all the time","but",6
"1108","am i supposed","to",6
"1109","an hour and","a",6
"1110","an important part","of",6
"1111","and a pair","of",6
"1112","and at the","same",6
"1113","and i are","going",6
"1114","and i believe","that",6
"1115","and i do","not",6
"1116","and i dont","know",6
"1117","and i got","a",6
"1118","and i have","no",6
"1119","and i still","have",6
"1120","and it has","been",6
"1121","and it is","a",6
"1122","and let us","know",6
"1123","and of course","the",6
"1124","and pepper to","taste",6
"1125","and this is","why",6
"1126","and you have","to",6
"1127","are going to","have",6
"1128","are just a","few",6
"1129","are not going","to",6
"1130","as fast as","i",6
"1131","as much as","it",6
"1132","as much as","the",6
"1133","at least once","a",6
"1134","at pm at","the",6
"1135","at the time","and",6
"1136","at this point","i",6
"1137","back into the","swing",6
"1138","be a good","thing",6
"1139","be a great","day",6
"1140","be used as","a",6
"1141","because i want","to",6
"1142","because i wanted","to",6
"1143","big thank you","to",6
"1144","but at the","same",6
"1145","but for some","reason",6
"1146","but i am","so",6
"1147","but i dont","want",6
"1148","but i know","that",6
"1149","but i think","that",6
"1150","but i will","be",6
"1151","but it is","also",6
"1152","but it is","not",6
"1153","but it was","the",6
"1154","but you know","what",6
"1155","cabin in the","woods",6
"1156","can be used","as",6
"1157","can you please","follow",6
"1158","cant think of","a",6
"1159","cant wait to","go",6
"1160","cant wait to","share",6
"1161","cant wait to","start",6
"1162","check it out","thanks",6
"1163","chicago illinois incorporated","in",6
"1164","come check out","the",6
"1165","did not have","to",6
"1166","do the same","thing",6
"1167","do you do","when",6
"1168","do you have","to",6
"1169","dont even know","what",6
"1170","dont know why","i",6
"1171","enough for me","to",6
"1172","every once in","a",6
"1173","everyone who came","out",6
"1174","fact that it","is",6
"1175","feel the same","way",6
"1176","fill in the","blank",6
"1177","first day of","the",6
"1178","follow me please","i",6
"1179","following the hilltop","on",6
"1180","for all of","you",6
"1181","for as long","as",6
